set,set id,name,id,card number,image,prices,price,cost,obtained
Brilliant Stars,swsh9,Tropius,swsh9-5,5,"{'small': 'https://images.pokemontcg.io/swsh9/5.png', 'large': 'https://images.pokemontcg.io/swsh9/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-5', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.2, 'high': 2.0, 'market': 0.2, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.27, 'market': 0.07, 'directLow': None}}}",0.07,0,False
Brilliant Stars,swsh9,Turtwig,swsh9-6,6,"{'small': 'https://images.pokemontcg.io/swsh9/6.png', 'large': 'https://images.pokemontcg.io/swsh9/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-6', 'updatedAt': '2025/01/08', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 11.5, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.15, 'directLow': 0.12}}}",0.05,0,False
Brilliant Stars,swsh9,Torterra,swsh9-8,8,"{'small': 'https://images.pokemontcg.io/swsh9/8.png', 'large': 'https://images.pokemontcg.io/swsh9/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-8', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.08, 'mid': 0.25, 'high': 2.95, 'market': 0.26, 'directLow': None}, 'holofoil': {'low': 0.05, 'mid': 0.22, 'high': 5.05, 'market': 0.18, 'directLow': None}}}",0.26,0,False
Brilliant Stars,swsh9,Wormadam,swsh9-10,10,"{'small': 'https://images.pokemontcg.io/swsh9/10.png', 'large': 'https://images.pokemontcg.io/swsh9/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-10', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.17, 'high': 3.3, 'market': 0.13, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.12, 'high': 11.5, 'market': 0.11, 'directLow': 0.06}}}",0.11,0,False
Brilliant Stars,swsh9,Mothim,swsh9-11,11,"{'small': 'https://images.pokemontcg.io/swsh9/11.png', 'large': 'https://images.pokemontcg.io/swsh9/11_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-11', 'updatedAt': '2025/01/08', 'prices': {'normal': {'low': 0.01, 'mid': 0.15, 'high': 5.01, 'market': 0.07, 'directLow': 0.07}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.19, 'high': 3.3, 'market': 0.16, 'directLow': 0.14}}}",0.07,0,False
Brilliant Stars,swsh9,Karrablast,swsh9-15,15,"{'small': 'https://images.pokemontcg.io/swsh9/15.png', 'large': 'https://images.pokemontcg.io/swsh9/15_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-15', 'updatedAt': '2025/01/08', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 2.02, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 2.0, 'market': 0.13, 'directLow': None}}}",0.05,0,False
Brilliant Stars,swsh9,Infernape,swsh9-26,26,"{'small': 'https://images.pokemontcg.io/swsh9/26.png', 'large': 'https://images.pokemontcg.io/swsh9/26_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-26', 'updatedAt': '2025/01/08', 'prices': {'holofoil': {'low': 0.03, 'mid': 0.2, 'high': 4.0, 'market': 0.27, 'directLow': None}, 'reverseHolofoil': {'low': 0.06, 'mid': 0.3, 'high': 4.95, 'market': 0.34, 'directLow': None}}}",0.34,0,False
Brilliant Stars,swsh9,Kingler V,swsh9-28,28,"{'small': 'https://images.pokemontcg.io/swsh9/28.png', 'large': 'https://images.pokemontcg.io/swsh9/28_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-28', 'updatedAt': '2025/01/08', 'prices': {'holofoil': {'low': 0.34, 'mid': 0.68, 'high': 12.95, 'market': 0.59, 'directLow': None}}}",0.59,0,False
Brilliant Stars,swsh9,Corphish,swsh9-32,32,"{'small': 'https://images.pokemontcg.io/swsh9/32.png', 'large': 'https://images.pokemontcg.io/swsh9/32_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-32', 'updatedAt': '2025/01/08', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 2.02, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 2.0, 'market': 0.09, 'directLow': None}}}",0.05,0,False
Brilliant Stars,swsh9,Snorunt,swsh9-34,34,"{'small': 'https://images.pokemontcg.io/swsh9/34.png', 'large': 'https://images.pokemontcg.io/swsh9/34_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-34', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 1.31, 'market': 0.14, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.06, 'high': 1.27, 'market': 0.04, 'directLow': None}}}",0.04,0,False
Brilliant Stars,swsh9,Prinplup,swsh9-36,36,"{'small': 'https://images.pokemontcg.io/swsh9/36.png', 'large': 'https://images.pokemontcg.io/swsh9/36_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-36', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.16, 'high': 2.0, 'market': 0.16, 'directLow': 0.07}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 1.37, 'market': 0.05, 'directLow': None}}}",0.05,0,False
Brilliant Stars,swsh9,Duskull,swsh9-60,60,"{'small': 'https://images.pokemontcg.io/swsh9/60.png', 'large': 'https://images.pokemontcg.io/swsh9/60_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-60', 'updatedAt': '2025/01/08', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.25, 'high': 20.23, 'market': 0.37, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 2.0, 'market': 0.05, 'directLow': None}}}",0.05,0,False
Brilliant Stars,swsh9,Whimsicott V,swsh9-64,64,"{'small': 'https://images.pokemontcg.io/swsh9/64.png', 'large': 'https://images.pokemontcg.io/swsh9/64_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-64', 'updatedAt': '2025/01/08', 'prices': {'holofoil': {'low': 0.2, 'mid': 0.75, 'high': 35.0, 'market': 0.41, 'directLow': None}}}",0.41,0,False
Brilliant Stars,swsh9,Mimikyu V,swsh9-68,68,"{'small': 'https://images.pokemontcg.io/swsh9/68.png', 'large': 'https://images.pokemontcg.io/swsh9/68_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh9-68', 'updatedAt': '2025/01/08', 'prices': {'holofoil': {'low': 0.23, 'mid': 0.75, 'high': 6.95, 'market': 0.64, 'directLow': 0.99}}}",0.64,0,False
