set,set id,name,id,card number,image,prices,price,cost,obtained
Obsidian Flames,sv3,Oddish,sv3-1,1,"{'small': 'https://images.pokemontcg.io/sv3/1.png', 'large': 'https://images.pokemontcg.io/sv3/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-1', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.08, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 4.99, 'market': 0.03, 'directLow': None}}}",0.03,0,False
Obsidian Flames,sv3,Gloom,sv3-2,2,"{'small': 'https://images.pokemontcg.io/sv3/2.png', 'large': 'https://images.pokemontcg.io/sv3/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-2', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.06, 'mid': 0.2, 'high': 4.99, 'market': 0.19, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.09, 'high': 4.99, 'market': 0.05, 'directLow': None}}}",0.05,0,False
Obsidian Flames,sv3,Bellossom,sv3-3,3,"{'small': 'https://images.pokemontcg.io/sv3/3.png', 'large': 'https://images.pokemontcg.io/sv3/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-3', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.2, 'high': 4.99, 'market': 0.14, 'directLow': 0.13}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': 0.07}}}",0.07,0,False
Obsidian Flames,sv3,Scyther,sv3-4,4,"{'small': 'https://images.pokemontcg.io/sv3/4.png', 'large': 'https://images.pokemontcg.io/sv3/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-4', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 4.99, 'market': 0.09, 'directLow': 0.09}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.06, 'directLow': 0.04}}}",0.06,0,False
Obsidian Flames,sv3,Shuckle,sv3-5,5,"{'small': 'https://images.pokemontcg.io/sv3/5.png', 'large': 'https://images.pokemontcg.io/sv3/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-5', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.2, 'high': 4.99, 'market': 0.17, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': None}}}",0.07,0,False
Obsidian Flames,sv3,Surskit,sv3-6,6,"{'small': 'https://images.pokemontcg.io/sv3/6.png', 'large': 'https://images.pokemontcg.io/sv3/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-6', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 4.99, 'market': 0.07, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.07, 'high': 4.99, 'market': 0.06, 'directLow': None}}}",0.06,0,False
Obsidian Flames,sv3,Masquerain,sv3-7,7,"{'small': 'https://images.pokemontcg.io/sv3/7.png', 'large': 'https://images.pokemontcg.io/sv3/7_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-7', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.19, 'high': 4.99, 'market': 0.13, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.09, 'high': 4.99, 'market': 0.04, 'directLow': 0.02}}}",0.04,0,False
Obsidian Flames,sv3,Combee,sv3-8,8,"{'small': 'https://images.pokemontcg.io/sv3/8.png', 'large': 'https://images.pokemontcg.io/sv3/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-8', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.13, 'high': 4.99, 'market': 0.11, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.07, 'high': 4.99, 'market': 0.05, 'directLow': None}}}",0.05,0,False
Obsidian Flames,sv3,Foongus,sv3-9,9,"{'small': 'https://images.pokemontcg.io/sv3/9.png', 'large': 'https://images.pokemontcg.io/sv3/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-9', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.11, 'high': 4.99, 'market': 0.07, 'directLow': 0.05}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 4.99, 'market': 0.04, 'directLow': None}}}",0.04,0,False
Obsidian Flames,sv3,Amoonguss,sv3-10,10,"{'small': 'https://images.pokemontcg.io/sv3/10.png', 'large': 'https://images.pokemontcg.io/sv3/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv3-10', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.08, 'mid': 0.2, 'high': 4.99, 'market': 0.15, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.05, 'directLow': None}}}",0.05,0,False
