set,set id,name,id,card number,image,prices,price,cost,obtained
Paradox Rift,sv4,Surskit,sv4-1,1,"{'small': 'https://images.pokemontcg.io/sv4/1.png', 'large': 'https://images.pokemontcg.io/sv4/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-1', 'updatedAt': '2025/01/25', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.09, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.12, 'high': 4.99, 'market': 0.09, 'directLow': None}}}",0.09,0,False
Paradox Rift,sv4,Masquerain,sv4-2,2,"{'small': 'https://images.pokemontcg.io/sv4/2.png', 'large': 'https://images.pokemontcg.io/sv4/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-2', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.03, 'mid': 0.15, 'high': 4.99, 'market': 0.12, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': None}}}",0.07,0,False
Paradox Rift,sv4,Pansage,sv4-4,4,"{'small': 'https://images.pokemontcg.io/sv4/4.png', 'large': 'https://images.pokemontcg.io/sv4/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-4', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 25.0, 'market': 0.07, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': None}}}",0.07,0,False
Paradox Rift,sv4,Simisage,sv4-5,5,"{'small': 'https://images.pokemontcg.io/sv4/5.png', 'large': 'https://images.pokemontcg.io/sv4/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-5', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 4.99, 'market': 0.13, 'directLow': 0.12}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.06, 'directLow': 0.04}}}",0.06,0,False
Paradox Rift,sv4,Froslass ex,sv4-3,3,"{'small': 'https://images.pokemontcg.io/sv4/3.png', 'large': 'https://images.pokemontcg.io/sv4/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-3', 'updatedAt': '2025/01/25', 'prices': {'holofoil': {'low': 0.19, 'mid': 0.69, 'high': 10.0, 'market': 0.69, 'directLow': 0.29}}}",0.69,0,False
Paradox Rift,sv4,Dwebble,sv4-6,6,"{'small': 'https://images.pokemontcg.io/sv4/6.png', 'large': 'https://images.pokemontcg.io/sv4/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-6', 'updatedAt': '2025/01/25', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.05, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 5.0, 'market': 0.1, 'directLow': 0.09}}}",0.05,0,False
Paradox Rift,sv4,Crustle,sv4-7,7,"{'small': 'https://images.pokemontcg.io/sv4/7.png', 'large': 'https://images.pokemontcg.io/sv4/7_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-7', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 5.0, 'market': 0.08, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.06, 'directLow': None}}}",0.06,0,False
Paradox Rift,sv4,Bounsweet,sv4-8,8,"{'small': 'https://images.pokemontcg.io/sv4/8.png', 'large': 'https://images.pokemontcg.io/sv4/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-8', 'updatedAt': '2025/01/25', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.04, 'directLow': 0.03}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.12, 'high': 4.99, 'market': 0.08, 'directLow': 0.06}}}",0.04,0,False
Paradox Rift,sv4,Blipbug,sv4-10,10,"{'small': 'https://images.pokemontcg.io/sv4/10.png', 'large': 'https://images.pokemontcg.io/sv4/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-10', 'updatedAt': '2025/01/25', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 10.04, 'market': 0.03, 'directLow': None}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 5.0, 'market': 0.07, 'directLow': None}}}",0.03,0,False
Paradox Rift,sv4,Steenee,sv4-9,9,"{'small': 'https://images.pokemontcg.io/sv4/9.png', 'large': 'https://images.pokemontcg.io/sv4/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-9', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.15, 'high': 4.99, 'market': 0.13, 'directLow': 0.13}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': 0.04}}}",0.07,0,False
Paradox Rift,sv4,Nymble,sv4-14,14,"{'small': 'https://images.pokemontcg.io/sv4/14.png', 'large': 'https://images.pokemontcg.io/sv4/14_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-14', 'updatedAt': '2025/01/25', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.15, 'high': 4.99, 'market': 0.06, 'directLow': None}}}",0.05,0,False
Paradox Rift,sv4,Dottler,sv4-11,11,"{'small': 'https://images.pokemontcg.io/sv4/11.png', 'large': 'https://images.pokemontcg.io/sv4/11_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv4-11', 'updatedAt': '2025/01/25', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.12, 'high': 4.99, 'market': 0.07, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.05, 'directLow': None}}}",0.05,0,False
