set,set id,name,id,card number,image,prices,price,cost,obtained
Silver Tempest,swsh12,Spinarak,swsh12-3,3,"{'small': 'https://images.pokemontcg.io/swsh12/3.png', 'large': 'https://images.pokemontcg.io/swsh12/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-3', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.15, 'high': 4.99, 'market': 0.12, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 4.99, 'market': 0.05, 'directLow': 0.01}}}",0.05,0,False
Silver Tempest,swsh12,Ariados,swsh12-4,4,"{'small': 'https://images.pokemontcg.io/swsh12/4.png', 'large': 'https://images.pokemontcg.io/swsh12/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-4', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.15, 'high': 4.99, 'market': 0.12, 'directLow': None}, 'holofoil': {'low': 0.01, 'mid': 0.19, 'high': 4.99, 'market': 0.17, 'directLow': None}}}",0.12,0,False
Silver Tempest,swsh12,Sunflora,swsh12-6,6,"{'small': 'https://images.pokemontcg.io/swsh12/6.png', 'large': 'https://images.pokemontcg.io/swsh12/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-6', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.11, 'high': 4.99, 'market': 0.11, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.17, 'high': 4.99, 'market': 0.14, 'directLow': None}}}",0.11,0,False
Silver Tempest,swsh12,Amoonguss,swsh12-12,12,"{'small': 'https://images.pokemontcg.io/swsh12/12.png', 'large': 'https://images.pokemontcg.io/swsh12/12_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-12', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.06, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.1, 'mid': 0.24, 'high': 4.99, 'market': 0.15, 'directLow': None}}}",0.06,0,False
Silver Tempest,swsh12,Virizion,swsh12-14,14,"{'small': 'https://images.pokemontcg.io/swsh12/14.png', 'large': 'https://images.pokemontcg.io/swsh12/14_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-14', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.15, 'mid': 0.25, 'high': 4.99, 'market': 0.23, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.14, 'high': 4.99, 'market': 0.11, 'directLow': 0.04}}}",0.11,0,False
Silver Tempest,swsh12,Chesnaught V,swsh12-15,15,"{'small': 'https://images.pokemontcg.io/swsh12/15.png', 'large': 'https://images.pokemontcg.io/swsh12/15_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-15', 'updatedAt': '2025/01/26', 'prices': {'holofoil': {'low': 0.19, 'mid': 0.6, 'high': 1000.0, 'market': 0.39, 'directLow': 0.22}}}",0.39,0,False
Silver Tempest,swsh12,Rapidash,swsh12-22,22,"{'small': 'https://images.pokemontcg.io/swsh12/22.png', 'large': 'https://images.pokemontcg.io/swsh12/22_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-22', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.23, 'high': 4.99, 'market': 0.18, 'directLow': 0.14}, 'holofoil': {'low': 0.03, 'mid': 0.2, 'high': 4.99, 'market': 0.17, 'directLow': None}}}",0.18,0,False
Silver Tempest,swsh12,Vulpix,swsh12-17,17,"{'small': 'https://images.pokemontcg.io/swsh12/17.png', 'large': 'https://images.pokemontcg.io/swsh12/17_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-17', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 4.99, 'market': 0.08, 'directLow': None}, 'reverseHolofoil': {'low': 0.04, 'mid': 0.19, 'high': 4.99, 'market': 0.17, 'directLow': None}}}",0.08,0,False
Silver Tempest,swsh12,Victini,swsh12-23,23,"{'small': 'https://images.pokemontcg.io/swsh12/23.png', 'large': 'https://images.pokemontcg.io/swsh12/23_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-23', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.12, 'mid': 0.27, 'high': 4.99, 'market': 0.24, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.13, 'high': 4.99, 'market': 0.11, 'directLow': None}}}",0.11,0,False
Silver Tempest,swsh12,Ninetales,swsh12-18,18,"{'small': 'https://images.pokemontcg.io/swsh12/18.png', 'large': 'https://images.pokemontcg.io/swsh12/18_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-18', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.09, 'directLow': None}, 'reverseHolofoil': {'low': 0.05, 'mid': 0.23, 'high': 4.99, 'market': 0.22, 'directLow': None}}}",0.09,0,False
Silver Tempest,swsh12,Braixen,swsh12-26,26,"{'small': 'https://images.pokemontcg.io/swsh12/26.png', 'large': 'https://images.pokemontcg.io/swsh12/26_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-26', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.04, 'mid': 0.17, 'high': 4.99, 'market': 0.17, 'directLow': 0.04}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 5.0, 'market': 0.07, 'directLow': 0.01}}}",0.07,0,False
Silver Tempest,swsh12,Fletchinder,swsh12-28,28,"{'small': 'https://images.pokemontcg.io/swsh12/28.png', 'large': 'https://images.pokemontcg.io/swsh12/28_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-28', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.15, 'high': 4.99, 'market': 0.13, 'directLow': 0.06}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.04, 'directLow': None}}}",0.04,0,False
Silver Tempest,swsh12,Alolan Vulpix V,swsh12-33,33,"{'small': 'https://images.pokemontcg.io/swsh12/33.png', 'large': 'https://images.pokemontcg.io/swsh12/33_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-33', 'updatedAt': '2025/01/26', 'prices': {'holofoil': {'low': 0.2, 'mid': 0.83, 'high': 89.0, 'market': 0.85, 'directLow': 0.99}}}",0.85,0,False
Silver Tempest,swsh12,Wailord,swsh12-38,38,"{'small': 'https://images.pokemontcg.io/swsh12/38.png', 'large': 'https://images.pokemontcg.io/swsh12/38_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-38', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.11, 'high': 4.99, 'market': 0.12, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.24, 'high': 4.99, 'market': 0.24, 'directLow': None}}}",0.12,0,False
Silver Tempest,swsh12,Froslass,swsh12-43,43,"{'small': 'https://images.pokemontcg.io/swsh12/43.png', 'large': 'https://images.pokemontcg.io/swsh12/43_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-43', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': 0.05}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.3, 'high': 4.99, 'market': 0.29, 'directLow': None}}}",0.07,0,False
Silver Tempest,swsh12,Relicanth,swsh12-44,44,"{'small': 'https://images.pokemontcg.io/swsh12/44.png', 'large': 'https://images.pokemontcg.io/swsh12/44_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-44', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.06, 'high': 11.5, 'market': 0.03, 'directLow': None}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.16, 'high': 4.99, 'market': 0.14, 'directLow': None}}}",0.03,0,False
Silver Tempest,swsh12,Phione,swsh12-45,45,"{'small': 'https://images.pokemontcg.io/swsh12/45.png', 'large': 'https://images.pokemontcg.io/swsh12/45_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-45', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.15, 'mid': 0.26, 'high': 4.99, 'market': 0.25, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.11, 'high': 4.99, 'market': 0.09, 'directLow': 0.05}}}",0.09,0,False
Silver Tempest,swsh12,Arcanine,swsh12-20,20,"{'small': 'https://images.pokemontcg.io/swsh12/20.png', 'large': 'https://images.pokemontcg.io/swsh12/20_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-20', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.1, 'mid': 0.33, 'high': 4.99, 'market': 0.28, 'directLow': 0.23}, 'normal': {'low': 0.01, 'mid': 0.15, 'high': 4.99, 'market': 0.13, 'directLow': 0.09}}}",0.13,0,False
Silver Tempest,swsh12,Fennekin,swsh12-25,25,"{'small': 'https://images.pokemontcg.io/swsh12/25.png', 'large': 'https://images.pokemontcg.io/swsh12/25_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-25', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.05, 'mid': 0.18, 'high': 17.0, 'market': 0.19, 'directLow': None}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 4.99, 'market': 0.07, 'directLow': 0.01}}}",0.07,0,False
Silver Tempest,swsh12,Torracat,swsh12-31,31,"{'small': 'https://images.pokemontcg.io/swsh12/31.png', 'large': 'https://images.pokemontcg.io/swsh12/31_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-31', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.07, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.17, 'high': 4.99, 'market': 0.13, 'directLow': None}}}",0.07,0,False
Silver Tempest,swsh12,Omastar V,swsh12-35,35,"{'small': 'https://images.pokemontcg.io/swsh12/35.png', 'large': 'https://images.pokemontcg.io/swsh12/35_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-35', 'updatedAt': '2025/01/26', 'prices': {'holofoil': {'low': 0.2, 'mid': 0.63, 'high': 89.0, 'market': 0.49, 'directLow': 0.69}}}",0.49,0,False
Silver Tempest,swsh12,Milotic,swsh12-40,40,"{'small': 'https://images.pokemontcg.io/swsh12/40.png', 'large': 'https://images.pokemontcg.io/swsh12/40_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-40', 'updatedAt': '2025/01/26', 'prices': {'reverseHolofoil': {'low': 0.1, 'mid': 0.29, 'high': 4.99, 'market': 0.27, 'directLow': 0.22}, 'normal': {'low': 0.01, 'mid': 0.14, 'high': 10.0, 'market': 0.13, 'directLow': 0.01}}}",0.13,0,False
Silver Tempest,swsh12,Keldeo,swsh12-46,46,"{'small': 'https://images.pokemontcg.io/swsh12/46.png', 'large': 'https://images.pokemontcg.io/swsh12/46_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-46', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 4.99, 'market': 0.09, 'directLow': 0.06}, 'reverseHolofoil': {'low': 0.09, 'mid': 0.25, 'high': 4.99, 'market': 0.18, 'directLow': None}}}",0.09,0,False
Silver Tempest,swsh12,Araquanid,swsh12-48,48,"{'small': 'https://images.pokemontcg.io/swsh12/48.png', 'large': 'https://images.pokemontcg.io/swsh12/48_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/swsh12-48', 'updatedAt': '2025/01/26', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 4.99, 'market': 0.04, 'directLow': 0.01}, 'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 4.99, 'market': 0.1, 'directLow': None}}}",0.04,0,False
