set,set id,name,id,card number,image,prices,price,cost,obtained
Twilight Masquerade,sv6,Tangela,sv6-1,1,"{'small': 'https://images.pokemontcg.io/sv6/1.png', 'large': 'https://images.pokemontcg.io/sv6/1_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-1', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.15, 'high': 4.99, 'market': 0.07, 'directLow': 0.05}, 'normal': {'low': 0.01, 'mid': 0.08, 'high': 100.0, 'market': 0.04, 'directLow': 0.03}}}",0.04,0,False
Twilight Masquerade,sv6,Tangrowth,sv6-2,2,"{'small': 'https://images.pokemontcg.io/sv6/2.png', 'large': 'https://images.pokemontcg.io/sv6/2_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-2', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.15, 'high': 100.0, 'market': 0.09, 'directLow': 0.07}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 100.0, 'market': 0.05, 'directLow': 0.04}}}",0.05,0,False
Twilight Masquerade,sv6,Pinsir,sv6-3,3,"{'small': 'https://images.pokemontcg.io/sv6/3.png', 'large': 'https://images.pokemontcg.io/sv6/3_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-3', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 100.0, 'market': 0.06, 'directLow': 0.05}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 4.99, 'market': 0.07, 'directLow': 0.06}}}",0.06,0,False
Twilight Masquerade,sv6,Spinarak,sv6-4,4,"{'small': 'https://images.pokemontcg.io/sv6/4.png', 'large': 'https://images.pokemontcg.io/sv6/4_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-4', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 100.0, 'market': 0.04, 'directLow': 0.03}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.13, 'high': 100.0, 'market': 0.12, 'directLow': 0.05}}}",0.04,0,False
Twilight Masquerade,sv6,Ariados,sv6-5,5,"{'small': 'https://images.pokemontcg.io/sv6/5.png', 'large': 'https://images.pokemontcg.io/sv6/5_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-5', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.14, 'high': 4.99, 'market': 0.11, 'directLow': 0.06}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 100.0, 'market': 0.05, 'directLow': 0.02}}}",0.05,0,False
Twilight Masquerade,sv6,Sunkern,sv6-6,6,"{'small': 'https://images.pokemontcg.io/sv6/6.png', 'large': 'https://images.pokemontcg.io/sv6/6_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-6', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 100.0, 'market': 0.04, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.12, 'high': 4.99, 'market': 0.07, 'directLow': 0.06}}}",0.04,0,False
Twilight Masquerade,sv6,Sunflora,sv6-7,7,"{'small': 'https://images.pokemontcg.io/sv6/7.png', 'large': 'https://images.pokemontcg.io/sv6/7_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-7', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.15, 'high': 4.99, 'market': 0.08, 'directLow': 0.05}, 'normal': {'low': 0.01, 'mid': 0.1, 'high': 100.0, 'market': 0.04, 'directLow': 0.03}}}",0.04,0,False
Twilight Masquerade,sv6,Heracross,sv6-8,8,"{'small': 'https://images.pokemontcg.io/sv6/8.png', 'large': 'https://images.pokemontcg.io/sv6/8_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-8', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.01, 'mid': 0.14, 'high': 4.99, 'market': 0.08, 'directLow': 0.07}, 'normal': {'low': 0.01, 'mid': 0.09, 'high': 100.0, 'market': 0.06, 'directLow': 0.03}}}",0.06,0,False
Twilight Masquerade,sv6,Volbeat,sv6-9,9,"{'small': 'https://images.pokemontcg.io/sv6/9.png', 'large': 'https://images.pokemontcg.io/sv6/9_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-9', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.08, 'high': 100.0, 'market': 0.04, 'directLow': 0.02}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.13, 'high': 4.99, 'market': 0.1, 'directLow': 0.09}}}",0.04,0,False
Twilight Masquerade,sv6,Illumise,sv6-10,10,"{'small': 'https://images.pokemontcg.io/sv6/10.png', 'large': 'https://images.pokemontcg.io/sv6/10_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-10', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.1, 'high': 100.0, 'market': 0.05, 'directLow': None}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 4.99, 'market': 0.09, 'directLow': 0.08}}}",0.05,0,False
Twilight Masquerade,sv6,Leafeon,sv6-11,11,"{'small': 'https://images.pokemontcg.io/sv6/11.png', 'large': 'https://images.pokemontcg.io/sv6/11_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-11', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.15, 'high': 5.96, 'market': 0.13, 'directLow': None}, 'reverseHolofoil': {'low': 0.03, 'mid': 0.21, 'high': 12.0, 'market': 0.17, 'directLow': 0.16}}}",0.13,0,False
Twilight Masquerade,sv6,Phantump,sv6-12,12,"{'small': 'https://images.pokemontcg.io/sv6/12.png', 'large': 'https://images.pokemontcg.io/sv6/12_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-12', 'updatedAt': '2025/01/06', 'prices': {'reverseHolofoil': {'low': 0.02, 'mid': 0.11, 'high': 100.0, 'market': 0.07, 'directLow': 0.06}, 'normal': {'low': 0.01, 'mid': 0.09, 'high': 100.0, 'market': 0.03, 'directLow': 0.03}}}",0.03,0,False
Twilight Masquerade,sv6,Trevenant,sv6-13,13,"{'small': 'https://images.pokemontcg.io/sv6/13.png', 'large': 'https://images.pokemontcg.io/sv6/13_hires.png'}","{'url': 'https://prices.pokemontcg.io/tcgplayer/sv6-13', 'updatedAt': '2025/01/06', 'prices': {'normal': {'low': 0.01, 'mid': 0.09, 'high': 100.0, 'market': 0.03, 'directLow': 0.03}, 'reverseHolofoil': {'low': 0.01, 'mid': 0.12, 'high': 4.99, 'market': 0.07, 'directLow': 0.07}}}",0.03,0,False
